Município,Regional,Tipo,Área de atuação,2020,2021,2022,2023,2024,2025
Campinas,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,200,123,149,140,151,133
Campinas,Campinas,RRT Inicial,Arquitetura das Edificações,3392,4475,4495,4543,4711,4537
Cosmópolis,Campinas,RRT Inicial,Conforto Ambiental,1,0,0,0,1,1
Cosmópolis,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,5,5,7,6,8,10
Cosmópolis,Campinas,RRT Inicial,Arquitetura das Edificações,93,71,60,84,91,76
Cosmópolis,Campinas,RRT Inicial,Planejamento Urbano e Regional,0,0,0,1,0,0
Cosmópolis,Campinas,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,1,0,1,1,2,2
Engenheiro Coelho,Campinas,RRT Inicial,Conforto Ambiental,0,1,0,3,1,0
Engenheiro Coelho,Campinas,RRT Inicial,Planejamento Urbano e Regional,1,0,0,0,0,0
Engenheiro Coelho,Campinas,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",2,1,0,0,1,0
Engenheiro Coelho,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,19,13,14,2,7,8
Engenheiro Coelho,Campinas,RRT Inicial,Arquitetura das Edificações,176,140,93,109,174,115
Engenheiro Coelho,Campinas,RRT Inicial,Meio Ambiente,1,1,0,0,0,0
Engenheiro Coelho,Campinas,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,0,1,0,0,0,0
Holambra,Campinas,RRT Inicial,Meio Ambiente,0,2,0,1,0,0
Holambra,Campinas,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,5,0,1,1,0,1
Holambra,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,6,12,12,8,3,9
Holambra,Campinas,RRT Inicial,Arquitetura das Edificações,229,285,433,420,354,393
Holambra,Campinas,RRT Inicial,Conforto Ambiental,1,2,6,7,4,33
Holambra,Campinas,RRT Inicial,Planejamento Urbano e Regional,1,0,0,1,1,1
Hortolândia,Campinas,RRT Inicial,Conforto Ambiental,7,12,9,7,24,28
Hortolândia,Campinas,RRT Inicial,Planejamento Urbano e Regional,0,0,0,1,0,0
Hortolândia,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,62,19,30,125,146,28
Hortolândia,Campinas,RRT Inicial,Arquitetura das Edificações,872,878,867,922,1055,764
Hortolândia,Campinas,RRT Inicial,Meio Ambiente,0,1,1,0,2,4
Hortolândia,Campinas,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,17,4,6,4,9,10
Indaiatuba,Campinas,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,5,7,6,7,7,12
Indaiatuba,Campinas,RRT Inicial,Conforto Ambiental,30,54,63,63,85,101
Indaiatuba,Campinas,RRT Inicial,Meio Ambiente,6,5,7,7,12,8
Indaiatuba,Campinas,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",1,1,2,2,1,0
Indaiatuba,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,45,53,50,36,49,42
Indaiatuba,Campinas,RRT Inicial,Arquitetura das Edificações,2551,3159,2431,2141,2441,2449
Itatiba,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,34,40,41,32,20,23
Itatiba,Campinas,RRT Inicial,Arquitetura das Edificações,600,1161,975,794,828,745
Itatiba,Campinas,RRT Inicial,Planejamento Urbano e Regional,0,1,0,2,0,0
Itatiba,Campinas,RRT Inicial,Meio Ambiente,12,35,21,12,23,12
Itatiba,Campinas,RRT Inicial,Conforto Ambiental,10,5,8,4,15,20
