Município,Regional,Tipo,Área de atuação,2020,2021,2022,2023,2024,2025
Salto de Pirapora,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,0,4,4,1,0,2
Salto de Pirapora,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,4,8,2,4,2,14
Salto de Pirapora,Sorocaba,RRT Inicial,Arquitetura das Edificações,250,251,168,172,207,238
Salto de Pirapora,Sorocaba,RRT Inicial,Conforto Ambiental,0,0,1,1,0,1
São Miguel Arcanjo,Sorocaba,RRT Inicial,Conforto Ambiental,0,0,0,1,0,0
São Miguel Arcanjo,Sorocaba,RRT Inicial,Meio Ambiente,0,1,0,0,0,0
São Miguel Arcanjo,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,5,7,6,6,2,1
São Miguel Arcanjo,Sorocaba,RRT Inicial,Arquitetura das Edificações,59,61,50,43,120,88
São Miguel Arcanjo,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,0,0,0,1,1,0
São Roque,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,9,8,9,10,7,18
São Roque,Sorocaba,RRT Inicial,Planejamento Urbano e Regional,2,1,3,1,2,3
São Roque,Sorocaba,RRT Inicial,Conforto Ambiental,3,6,7,61,15,14
São Roque,Sorocaba,RRT Inicial,Meio Ambiente,21,21,6,7,3,6
São Roque,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,38,40,39,29,35,24
São Roque,Sorocaba,RRT Inicial,Arquitetura das Edificações,303,392,393,507,437,507
São Roque,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,1,0,2,1,1
Sarapuí,Sorocaba,RRT Inicial,Planejamento Urbano e Regional,1,0,0,0,0,0
Sarapuí,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,57,59,58,65,51,59
Sarapuí,Sorocaba,RRT Inicial,Arquitetura das Edificações,69,87,76,69,65,49
Sarapuí,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,0,0,3,0,0,1
Sorocaba,Sorocaba,RRT Inicial,Conforto Ambiental,64,63,53,74,97,106
Sorocaba,Sorocaba,RRT Inicial,Meio Ambiente,6,4,2,3,10,11
Sorocaba,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,81,65,87,73,82,67
Sorocaba,Sorocaba,RRT Inicial,Arquitetura das Edificações,3206,3727,3205,3479,3686,3350
Sorocaba,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,14,27,27,15,20,22
Sorocaba,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",1,1,2,3,4,3
Sorocaba,Sorocaba,RRT Inicial,Planejamento Urbano e Regional,1,2,1,0,1,1
Tapiraí,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,0,5,3,0,1,0
Tapiraí,Sorocaba,RRT Inicial,Arquitetura das Edificações,5,9,10,6,10,0
Tapiraí,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,0,1,0,1,1,0
Tatuí,Sorocaba,RRT Inicial,Meio Ambiente,1,3,5,8,1,5
Tatuí,Sorocaba,RRT Inicial,Conforto Ambiental,3,5,5,1,2,1
Tatuí,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,20,22,14,19,18,15
Tatuí,Sorocaba,RRT Inicial,Arquitetura das Edificações,390,562,579,487,463,430
Tatuí,Sorocaba,RRT Inicial,Planejamento Urbano e Regional,0,0,0,0,1,1
Tatuí,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,0,2,0,2,1,3
Tatuí,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,0,1,0,1
Tietê,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,16,16,14,27,26,7
Tietê,Sorocaba,RRT Inicial,Arquitetura das Edificações,116,161,161,170,182,199
Tietê,Sorocaba,RRT Inicial,Meio Ambiente,0,0,1,0,0,0
Tietê,Sorocaba,RRT Inicial,Conforto Ambiental,0,0,0,4,0,1
Tietê,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,0,3,0,0
Tietê,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,0,3,1,4,1,1
Tietê,Sorocaba,RRT Inicial,Planejamento Urbano e Regional,0,1,0,0,0,0
Votorantim,Sorocaba,RRT Inicial,Conforto Ambiental,7,15,7,22,18,21
Votorantim,Sorocaba,RRT Inicial,Meio Ambiente,2,1,1,0,5,2
Votorantim,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,39,35,29,40,25,35
Votorantim,Sorocaba,RRT Inicial,Arquitetura das Edificações,680,863,681,637,746,747
Votorantim,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,0,5,2,3,5,1
Votorantim,Sorocaba,RRT Inicial,Planejamento Urbano e Regional,0,0,4,1,0,0
Diadema,ABC,RRT Social,,2,1,7,1,24,0
Diadema,ABC,Empresa,,13,15,16,18,23,25
Diadema,ABC,Profissional,,180,198,194,210,210,248
Mauá,ABC,RRT Social,,0,3,2,1,2,0
Mauá,ABC,Empresa,,12,19,27,31,36,38
Mauá,ABC,Profissional,,185,196,195,225,227,276
Ribeirão Pires,ABC,RRT Social,,0,0,1,0,2,0
Ribeirão Pires,ABC,Empresa,,12,14,18,17,19,20
Ribeirão Pires,ABC,Profissional,,128,137,132,136,136,158
Rio Grande da Serra,ABC,RRT Social,,0,1,0,1,0,0
Rio Grande da Serra,ABC,Empresa,,1,1,2,2,2,2
Rio Grande da Serra,ABC,Profissional,,16,17,20,16,19,20
Santo André,ABC,RRT Social,,6,7,6,5,3,6
Santo André,ABC,Empresa,,160,168,177,175,193,218
Santo André,ABC,Profissional,,1215,1273,1302,1364,1351,1447
São Bernardo do Campo,ABC,RRT Social,,2,7,10,3,1,3
São Bernardo do Campo,ABC,Empresa,,80,93,102,111,130,143
São Bernardo do Campo,ABC,Profissional,,1145,1140,1203,1186,1223,1283
São Caetano do Sul,ABC,RRT Social,,0,2,3,3,1,2
São Caetano do Sul,ABC,Empresa,,82,92,105,113,123,138
São Caetano do Sul,ABC,Profissional,,550,546,572,576,599,607
Americana,Campinas,RRT Social,,0,0,4,2,1,0
Americana,Campinas,Empresa,,39,39,40,44,49,61
Americana,Campinas,Profissional,,288,326,333,353,348,413
Artur Nogueira,Campinas,RRT Social,,0,1,0,4,2,1
Artur Nogueira,Campinas,Empresa,,5,6,6,6,6,12
Artur Nogueira,Campinas,Profissional,,44,46,51,44,47,77
Campinas,Campinas,RRT Social,,0,34,13,3,5,11
Campinas,Campinas,Empresa,,218,256,275,275,336,446
Campinas,Campinas,Profissional,,1936,2013,2018,2137,2162,2262
Cosmópolis,Campinas,RRT Social,,0,0,0,0,0,0
Cosmópolis,Campinas,Empresa,,2,2,2,2,1,1
Cosmópolis,Campinas,Profissional,,20,19,16,18,25,28
Engenheiro Coelho,Campinas,RRT Social,,0,0,0,0,1,0
Engenheiro Coelho,Campinas,Empresa,,2,2,2,2,2,1
Engenheiro Coelho,Campinas,Profissional,,15,13,19,17,15,36
Holambra,Campinas,RRT Social,,0,1,0,0,0,5
Holambra,Campinas,Empresa,,3,3,4,4,5,7
Holambra,Campinas,Profissional,,21,24,24,24,28,33
Hortolândia,Campinas,RRT Social,,12,22,14,9,14,9
Hortolândia,Campinas,Empresa,,7,10,9,9,13,13
Hortolândia,Campinas,Profissional,,63,74,81,93,107,129
Indaiatuba,Campinas,RRT Social,,1,2,4,4,3,4
Indaiatuba,Campinas,Empresa,,39,47,50,42,52,69
Indaiatuba,Campinas,Profissional,,393,433,462,481,530,593
Itatiba,Campinas,RRT Social,,0,1,3,6,0,0
Itatiba,Campinas,Empresa,,20,25,28,28,32,35
Itatiba,Campinas,Profissional,,209,198,222,221,238,247
Jaguariúna,Campinas,RRT Social,,4,14,8,4,6,14
Jaguariúna,Campinas,Empresa,,3,3,3,5,5,5
Jaguariúna,Campinas,Profissional,,34,41,48,54,55,73
Monte Mor,Campinas,RRT Social,,0,1,1,1,0,2
Monte Mor,Campinas,Empresa,,2,3,4,3,5,6
Monte Mor,Campinas,Profissional,,19,22,21,22,25,35
Morungaba,Campinas,RRT Social,,0,0,0,0,0,0
Morungaba,Campinas,Empresa,,2,2,2,2,2,2
Morungaba,Campinas,Profissional,,7,10,9,11,7,8
Nova Odessa,Campinas,RRT Social,,0,0,0,1,0,0
Nova Odessa,Campinas,Empresa,,0,0,0,1,4,6
Nova Odessa,Campinas,Profissional,,18,19,27,35,37,50
Paulínia,Campinas,RRT Social,,1,1,3,1,2,1
Paulínia,Campinas,Empresa,,10,11,14,13,16,21
Paulínia,Campinas,Profissional,,118,121,129,134,149,169
Pedreira,Campinas,RRT Social,,0,0,3,0,0,0
Pedreira,Campinas,Empresa,,1,1,1,1,1,2
Pedreira,Campinas,Profissional,,31,37,29,40,31,39
Santa Bárbara d'Oeste,Campinas,RRT Social,,0,3,4,1,0,0
Santa Bárbara d'Oeste,Campinas,Empresa,,11,11,12,11,14,14
Santa Bárbara d'Oeste,Campinas,Profissional,,126,134,146,149,158,175
Santo Antônio de Posse,Campinas,RRT Social,,0,0,0,0,0,0
Santo Antônio de Posse,Campinas,Empresa,,2,3,3,3,3,3
Santo Antônio de Posse,Campinas,Profissional,,12,12,13,14,17,16
Sumaré,Campinas,RRT Social,,1,0,8,3,1,0
Sumaré,Campinas,Empresa,,9,8,9,13,12,16
Sumaré,Campinas,Profissional,,80,83,87,105,96,118
Valinhos,Campinas,RRT Social,,0,2,5,2,1,1
Valinhos,Campinas,Empresa,,21,26,27,29,36,39
Valinhos,Campinas,Profissional,,207,237,235,233,242,260
Vinhedo,Campinas,RRT Social,,0,0,0,0,0,0
Vinhedo,Campinas,Empresa,,10,16,16,19,22,23
Vinhedo,Campinas,Profissional,,189,198,196,210,208,234
Alambari,Sorocaba,RRT Social,,0,0,0,0,0,0
Alambari,Sorocaba,Empresa,,2,2,1,1,1,1
Alambari,Sorocaba,Profissional,,1,2,1,0,1,1
Alumínio,Sorocaba,RRT Social,,0,0,0,0,0,0
Alumínio,Sorocaba,Empresa,,0,0,0,0,0,1
Alumínio,Sorocaba,Profissional,,5,7,7,6,7,7
Araçariguama,Sorocaba,RRT Social,,0,0,1,1,0,0
Araçariguama,Sorocaba,Empresa,,4,4,5,6,6,9
Araçariguama,Sorocaba,Profissional,,8,9,11,15,15,16
Araçoiaba da Serra,Sorocaba,RRT Social,,0,0,0,0,0,0
Araçoiaba da Serra,Sorocaba,Empresa,,2,1,2,1,1,2
Araçoiaba da Serra,Sorocaba,Profissional,,30,34,32,30,38,42
Boituva,Sorocaba,RRT Social,,0,5,1,1,0,1
Boituva,Sorocaba,Empresa,,6,8,8,10,11,15
Boituva,Sorocaba,Profissional,,59,64,69,78,79,100
Capela do Alto,Sorocaba,RRT Social,,0,0,1,1,0,0
Capela do Alto,Sorocaba,Empresa,,1,1,2,2,2,2
Capela do Alto,Sorocaba,Profissional,,3,8,10,6,10,12
Cerquilho,Sorocaba,RRT Social,,0,1,4,4,3,4
Cerquilho,Sorocaba,Empresa,,4,5,6,6,6,8
Cerquilho,Sorocaba,Profissional,,43,44,43,46,46,59
Cesário Lange,Sorocaba,RRT Social,,0,1,0,0,0,0
Cesário Lange,Sorocaba,Empresa,,0,0,0,0,0,0
Cesário Lange,Sorocaba,Profissional,,6,5,6,5,5,7
Ibiúna,Sorocaba,RRT Social,,0,0,2,1,0,0
Ibiúna,Sorocaba,Empresa,,1,1,3,4,6,6
Ibiúna,Sorocaba,Profissional,,24,30,25,29,32,41
Iperó,Sorocaba,RRT Social,,0,0,0,1,3,0
Iperó,Sorocaba,Empresa,,2,2,2,2,2,3
Iperó,Sorocaba,Profissional,,7,6,6,11,15,15
Itapetininga,Sorocaba,RRT Social,,0,1,5,0,0,0
Itapetininga,Sorocaba,Empresa,,14,15,16,19,21,20
Itapetininga,Sorocaba,Profissional,,83,86,91,91,106,126
Itu,Sorocaba,RRT Social,,0,3,5,1,2,0
Itu,Sorocaba,Empresa,,30,37,39,43,48,56
Itu,Sorocaba,Profissional,,221,246,258,257,291,330
Jumirim,Sorocaba,RRT Social,,1,0,1,0,1,1
Jumirim,Sorocaba,Empresa,,1,2,2,2,2,2
Jumirim,Sorocaba,Profissional,,2,1,2,3,1,3
Mairinque,Sorocaba,RRT Social,,0,0,0,0,0,0
Mairinque,Sorocaba,Empresa,,1,1,1,1,2,2
Mairinque,Sorocaba,Profissional,,21,21,26,23,26,27
Piedade,Sorocaba,RRT Social,,0,0,0,0,0,0
Piedade,Sorocaba,Empresa,,1,1,2,3,3,3
Piedade,Sorocaba,Profissional,,24,26,25,25,25,28
Pilar do Sul,Sorocaba,RRT Social,,0,0,0,2,0,0
Pilar do Sul,Sorocaba,Empresa,,2,2,1,3,3,3
Pilar do Sul,Sorocaba,Profissional,,12,18,16,16,18,19
Porto Feliz,Sorocaba,RRT Social,,0,10,33,33,15,17
Porto Feliz,Sorocaba,Empresa,,8,8,8,10,11,14
Porto Feliz,Sorocaba,Profissional,,56,62,67,66,74,74
Salto,Sorocaba,RRT Social,,1,0,5,3,7,1
Salto,Sorocaba,Empresa,,14,16,18,18,23,26
Salto,Sorocaba,Profissional,,138,170,169,175,170,213
Salto de Pirapora,Sorocaba,RRT Social,,0,1,0,0,0,0
Salto de Pirapora,Sorocaba,Empresa,,0,0,1,4,4,6
Salto de Pirapora,Sorocaba,Profissional,,13,18,16,26,22,32
São Miguel Arcanjo,Sorocaba,RRT Social,,0,2,0,0,0,0
São Miguel Arcanjo,Sorocaba,Empresa,,2,2,2,2,2,2
São Miguel Arcanjo,Sorocaba,Profissional,,10,12,15,16,14,16
São Roque,Sorocaba,RRT Social,,0,1,1,0,2,1
São Roque,Sorocaba,Empresa,,13,15,17,17,20,25
São Roque,Sorocaba,Profissional,,102,97,106,113,107,113
Sarapuí,Sorocaba,RRT Social,,0,0,1,0,0,0
Sarapuí,Sorocaba,Empresa,,0,0,0,0,0,0
Sarapuí,Sorocaba,Profissional,,6,7,7,5,6,9
Sorocaba,Sorocaba,RRT Social,,3,8,17,15,12,7
Sorocaba,Sorocaba,Empresa,,114,122,130,133,158,200
Sorocaba,Sorocaba,Profissional,,906,992,1019,1068,1097,1260
Tapiraí,Sorocaba,RRT Social,,0,0,0,0,0,0
Tapiraí,Sorocaba,Empresa,,0,0,0,0,0,0
Tapiraí,Sorocaba,Profissional,,3,4,3,0,3,4
Tatuí,Sorocaba,RRT Social,,0,2,1,0,0,0
Tatuí,Sorocaba,Empresa,,6,8,10,12,11,14
Tatuí,Sorocaba,Profissional,,66,75,70,76,84,92
Tietê,Sorocaba,RRT Social,,0,2,0,0,0,0
Tietê,Sorocaba,Empresa,,2,3,3,3,3,4
Tietê,Sorocaba,Profissional,,47,52,43,48,50,54
Votorantim,Sorocaba,RRT Social,,0,1,1,4,3,4
Votorantim,Sorocaba,Empresa,,9,11,15,15,14,13
Votorantim,Sorocaba,Profissional,,86,94,98,113,117,139
