Região,Código IBGE,Município,Área (Km²),População,Áreas verdes (m²/habitante),Uso total de energia elétrica residencial per capita (kWh/dia),Consumo doméstico total de água per capita (litros/dia),Emissão de gases de efeito de estufa medida em toneladas per capita,Porcentagem do orçamento municipal anual destinada às infraestruturas verde e azul ,Porcentagem de áreas designadas para proteção natural,"Porcentagem da área da cidade coberta com materiais com alto índice de albedo, o que contribui para a mitigação das ilhas de calor urbanas",Porcentagem de resíduos sólidos urbanos que são reciclados,Número anual de focos de incêndio por km²,Porcentagem do orçamento municipal anual destinado ao planejamento do gerenciamento de emergências,Alocação total de fundos de reserva para desastres como porcentagem do orçamento total da cidade,Porcentagem do orçamento municipal anual destinada à atualização e manutenção de infraestrutura de águas pluviais,Número anual de propriedades residenciais inundadas como porcentagem do total de propriedades residenciais na cidade,Porcentagem da área urbana exposta a risco de ameaças naturais,Porcentagem anual da população da cidade diretamente afetada por ameaças naturais,Porcentagem do orçamento municipal anual destinada a iniciativas de agricultura urbana,Porcentagem da população em domicílios em risco de insegurança alimentar,Total da área agrícola por habitante,Frequência anual dos eventos de tempestades extremas,Frequência anual de eventos de calor extremo,Frequência anual de eventos de frio extremo,Frequência anual de eventos de seca meteorológica,Intensidade dos eventos de tempestades extremas,Intensidade dos eventos de calor extremo,Intensidade dos eventos de frio extremo,Porcentagem da população da cidade com serviço de abastecimento de água potável,Porcentagem da população da cidade atendida por sistemas de coleta e afastamento de esgoto,Porcentagem da população da cidade com coleta regular de resíduos sólidos (domiciliar),Inexistência de banheiro exclusivo,Número de cômodos igual ao número de dormitórios,Adensamento excessivo de domicílios alugados,Domicílio cômodo,Adensamento excessivo de domicílios (exceto alugados),Domicílios rústicos,Domicílios improvisados em favelas e comunidades urbanas,Taxa de mortalidade de crianças menores de cinco anos a cada 1.000 nascidos vivos,Número de internações hospitalares por Doenças Relacionadas ao Saneamento Ambiental Inadequado – DRSAI por 100.000 habitantes,Presença de pessoas com deficiência (PCD),Renda per capita,Média do valor da terra nua rural,Taxa de distorção idade-série no Ensino Fundamental,Porcentagem de mães solo chefes de família,Taxa de alfabetização de pessoas economicamente ativas,Gravidez na adolescência (<19 anos),Mitigação,Adaptação,Déficit Habitacional,Vulnerabilidade Social,Índice de Resiliência Climática e Territorial
Região Metropolitana de Sorocaba,3511607,Cesário Lange,190.392,19707,722.38,4.06,155.00,4.06,0.92,0.00,0.28,0.00,0.00,0.04,1.00,0.00,0.00,0.36,0.00,1.74,0.10,0.84,0,9,8,2,0.0,4.8,8.8,83.48,100,64.62,0.13,3.13,1.01,0.11,1.39,0.18,0.00,21.50,65.97,13.91,1067.33,37525.32,10.00,8.81,96.88,1.49,1.94,6.41,3.99,4.72,4.65
Região Metropolitana de Campinas,3512803,Cosmópolis,151.645,61167,202.44,1.45,246.42,1.45,0.29,0.74,0.00,0.00,0.04,0.35,0.62,4.74,0.00,0.20,0.00,0.29,0.33,0.20,0,10,6,5,0.0,3.7,5.6,97.47,100,97.47,0.03,3.21,1.08,0.11,1.02,0.33,0.28,9.30,67.03,12.26,1250.00,39526.4,8.40,12.93,98.00,0.82,0.11,6.22,3.38,4.08,3.96
Consórcio Intermunicipal do Grande ABC,3513801,Diadema,30.806,403579,5.17,1.19,127.57,1.19,4.61,0.48,0.01,0.42,0.00,0.07,0.32,0.01,0.00,0.06,0.00,0.01,1.31,0.00,2,4,10,3,9.8,4.2,5.9,100.00,100,98.98,0.07,7.77,1.55,0.46,2.45,0.32,0.02,12.20,45.59,13.33,1180.00,25370.64,2.50,16.18,98.10,0.97,4.74,3.46,4.80,3.20,5.14
Região Metropolitana de Campinas,3515152,Engenheiro Coelho,109.574,20261,512.44,2.18,96.92,2.18,5.07,0.00,0.00,null,0.02,0.00,3.40,0.00,0.00,0.00,0.00,0.34,0.10,0.45,0,9,6,4,0.0,3.7,7.1,94.07,73.04,94.07,0.15,7.47,1,0.00,1.06,0.00,0.00,19.90,69.1,11.62,1175.00,37895.97,9.20,11.3,95.70,1.83,1.31,6.1,4.32,4.81,4.27
Região Metropolitana de Campinas,3519055,Holambra,65.337,15718,371.25,3.71,211.52,3.71,1.20,6.77,0.72,5.70,0.02,0.11,3.21,0.04,0.00,0.00,0.00,1.18,0.05,0.30,0,9,8,4,0.0,3.3,8.8,80.53,100,80.94,0.02,2.95,0.19,0.00,0.43,0.00,0.00,15.90,25.45,9.13,1633.33,85860.11,3.10,10.46,97.79,2.66,2.12,6.64,2.54,4.26,5.61
Região Metropolitana de Campinas,3519071,Hortolândia,62.416,248842,5.30,1.17,142.64,1.17,1.36,0.43,0.09,9.99,0.02,0.00,0.06,1.01,0.00,0.01,0.00,0.00,0.35,0.01,0,10,8,4,0.0,4.9,8.9,100.00,100,98.61,0.04,3.37,0.82,0.07,1.60,0.10,0.00,11.70,58.67,14.05,1233.33,42788.65,3.40,13.37,98.27,1.02,3.56,3.94,1.99,3.87,5.79
Região Metropolitana de Sorocaba,3519709,Ibiúna,1058.01,77801,8452.69,2.04,159.73,2.04,0.42,78.37,0.00,null,0.02,0.08,0.91,0.00,0.00,0.39,0.00,1.30,0.08,0.44,1,1,10,1,6.9,3.3,7.8,51.50,29.11,16.91,0.24,4.77,0.6,0.06,3.21,0.35,0.21,21.60,41.13,18.42,1000.00,25648.14,4.30,11.72,96.15,2.28,2.11,6.56,6.23,4.73,3.93
Região Metropolitana de Campinas,3520509,Indaiatuba,311.545,269657,98.66,1.52,181.88,1.52,0.06,10.04,0.04,1.80,0.00,0.00,0.69,1.09,0.00,0.02,0.00,0.00,0.31,0.08,0,9,6,3,0.0,6.0,4.8,95.09,100,94.41,0.04,4.2,1.07,0.33,0.85,0.07,0.00,10.30,124.6,10.83,1666.67,173948.73,4.90,10.9,98.81,1.21,1.56,4.72,3.14,5.08,3.98
Região Metropolitana de Sorocaba,3521002,Iperó,170.289,38277,1446.62,-3.49,142.97,-3.49,0.30,28.91,0.00,0.00,0.05,0.10,0.95,0.00,0.00,0.11,0.00,0.10,1.17,0.27,0,8,8,0,0.0,4.8,8.9,77.62,100,59.59,0.08,6.75,0.94,0.16,3.48,0.37,0.00,12.70,7.84,20.17,1000.80,47359.24,5.90,11.96,97.18,1.00,3.22,4.47,5.93,5.07,3.74
Região Metropolitana de Sorocaba,3522307,Itapetininga,1789.35,164256,2395.86,3.50,146.97,3.50,2.20,0.00,0.05,0.94,0.00,0.16,1.33,0.03,0.00,0.14,0.00,0.52,0.21,0.82,0,7,9,1,0.0,5.1,8.8,95.49,99,91.04,0.10,3.94,0.49,0.18,1.49,0.15,0.00,11.50,24.96,15.32,1200.00,31092.44,2.40,12.98,97.97,1.52,5.24,5.27,2.88,3.28,6.87
Região Metropolitana de Campinas,3523404,Itatiba,322.253,127112,427.52,2.45,154.14,2.45,1.92,0.02,0.14,2.55,0.02,7.65,0.24,2.12,0.00,1.79,0.00,0.08,0.09,0.18,0,8,8,3,0.0,3.8,5.4,92.59,100,86.40,0.04,4.04,0.92,0.31,0.53,0.07,0.00,13.50,25.17,12.39,1550.00,57366.75,5.90,11.64,98.44,1.18,1.52,7.62,3.83,4.48,5.14
Região Metropolitana de Sorocaba,3523909,Itu,640.719,175047,776.46,2.81,150.33,2.81,0.52,22.05,0.10,4.18,0.07,0.00,0.16,0.01,0.00,0.12,0.00,0.00,0.05,0.25,0,8,9,2,0.0,4.7,8.6,89.78,100,85.64,0.13,5.29,1.46,0.60,1.78,0.18,0.48,14.20,66.84,12.62,1300.00,67090.83,2.70,12.94,97.67,1.64,2.95,5.37,7.17,4.56,3.32
Região Metropolitana de Campinas,3524709,Jaguariúna,141.391,62309,218.93,1.82,192.34,1.82,0.35,63.37,0.43,2.07,0.01,1.69,0.48,0.08,0.00,1.28,0.00,0.00,0.03,0.17,1,9,8,4,2.4,3.4,8.2,96.90,100,96.90,0.02,5.16,1.1,0.29,0.79,0.00,0.00,9.40,170.12,12.07,1433.33,51494.8,1.90,11.81,98.57,0.95,2.68,6.27,3.51,4.18,5.34
Região Metropolitana de Sorocaba,3525854,Jumirim,56.685,3132,1773.94,10.39,146.33,10.39,0.00,98.90,0.00,8.69,0.00,0.17,0.12,0.00,0.00,0.00,0.00,3.94,0.00,1.54,0,8,8,1,0.0,4.5,9.0,79.44,65.71,56.16,0.10,1.2,0.9,0.00,0.20,0.00,0.00,0.00,31.93,8.18,1140.00,29556.32,5.50,9.68,97.46,0.50,3.16,6.59,3.85,3.38,5.84
Região Metropolitana de Sorocaba,3528403,Mairinque,210.149,51888,1405.92,1.65,144.01,1.65,0.49,24.67,0.04,0.00,0.10,1.72,0.79,0.22,0.00,0.67,0.00,0.00,0.08,0.20,1,9,9,0,3.7,5.1,8.3,92.94,96.79,81.81,0.05,5.29,0.78,0.14,1.84,0.19,0.00,25.20,34.69,15.14,1240.00,34458.46,8.40,12.59,97.78,1.61,2.13,6.05,4.61,4.77,4.51
Consórcio Intermunicipal do Grande ABC,3529401,Mauá,62.034,429014,27.37,1.40,116.20,1.40,0.73,0.08,0.14,0.75,0.00,0.01,0.40,0.00,0.00,1.41,0.00,0.00,0.04,0.00,1,4,8,3,7.2,4.0,6.1,96.45,100,91.29,0.08,6.63,1.07,0.17,2.97,0.61,0.13,13.70,18.41,12.62,1200.00,24142.19,2.90,14.34,97.98,1.37,2.13,4.09,5.03,2.97,4.04
